Profile Summary for standard Attention\n==================================================\n\n-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                           SumBackward0         0.11%     125.383us         0.35%     389.096us       7.782us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b            50  
                                   aten::_reshape_alias         0.19%     207.417us         0.19%     207.417us       2.074us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b           100  
                                           aten::detach         0.33%     368.102us         0.75%     839.481us       3.358us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b           250  
                                                 detach         0.42%     471.379us         0.42%     471.379us       1.886us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b           250  
        autograd::engine::evaluate_function: TBackward0         0.81%     905.870us         2.16%       2.400ms      11.998us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b           200  
                                             TBackward0         0.29%     327.663us         1.34%       1.494ms       7.469us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b           200  
    autograd::engine::evaluate_function: CloneBackward0         0.75%     831.444us         0.81%     903.349us       4.517us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b           200  
                                         CloneBackward0         0.06%      71.905us         0.06%      71.905us       0.360us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b           200  
autograd::engine::evaluate_function: TransposeBackwa...         0.92%       1.027ms         2.14%       2.383ms       9.530us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b           250  
                                     TransposeBackward0         0.33%     364.093us         1.22%       1.355ms       5.421us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b           250  
autograd::engine::evaluate_function: ExpandBackward0...         0.75%     831.360us         0.85%     941.657us       4.708us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b           200  
                                        ExpandBackward0         0.10%     110.297us         0.10%     110.297us       0.551us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b           200  
                                  cudaDeviceSynchronize        13.52%      15.040ms        13.52%      15.040ms      15.040ms       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             1  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 111.226ms
Self CUDA time total: 138.186ms
